Year,Province,Race,Sex,In Custody / Community,Avg Length,Arrested
2013,ON,White,Male,In Custody,"1,347","2,078"
2013,QC,White,Male,In Custody,"1,738","2,521"
2013,NB,White,Male,In Custody,"1,348",700
2013,NL,White,Male,In Custody,"1,106",31
2013,PE,White,Male,In Custody,"2,192",1
2013,NS,White,Male,In Custody,"1,392",348
2013,NW,White,Male,In Custody,0,0
2013,YU,White,Male,In Custody,0,0
2013,NU,White,Male,In Custody,0,0
2013,National,Aboriginal,Male,In Custody,"1,436","3,185"
2013,BC,Aboriginal,Male,In Custody,"1,321",515
2013,AB,Aboriginal,Male,In Custody,"1,504",663
2013,SK,Aboriginal,Male,In Custody,"1,509",592
2013,MB,Aboriginal,Male,In Custody,"1,465",432
2013,ON,Aboriginal,Male,In Custody,"1,389",461
2013,QC,Aboriginal,Male,In Custody,"1,387",365
2013,NB,Aboriginal,Male,In Custody,"1,511",109
2013,NL,Aboriginal,Male,In Custody,"1,389",1
2013,PE,Aboriginal,Male,In Custody,0,0
2013,NS,Aboriginal,Male,In Custody,"1,271",42
2013,NW,Aboriginal,Male,In Custody,"1,058",5
2013,YU,Aboriginal,Male,In Custody,0,0
2013,NU,Aboriginal,Male,In Custody,0,0
2013,National,Other Minority,Male,In Custody,"1,526","1,256"
2013,BC,Other Minority,Male,In Custody,"1,497",213
2013,AB,Other Minority,Male,In Custody,"1,439",166
2013,SK,Other Minority,Male,In Custody,"1,418",118
2013,MB,Other Minority,Male,In Custody,"1,705",68
2013,ON,Other Minority,Male,In Custody,"1,585",458
2013,QC,Other Minority,Male,In Custody,"1,512",183
2013,NB,Other Minority,Male,In Custody,"1,507",31
2013,NL,Other Minority,Male,In Custody,0,0
2013,PE,Other Minority,Male,In Custody,0,0
2013,NS,Other Minority,Male,In Custody,"1,359",19
2013,NW,Other Minority,Male,In Custody,0,0
2013,YU,Other Minority,Male,In Custody,0,0
2013,NU,Other Minority,Male,In Custody,0,0
2014,National,Black,Female,In Custody,"1,774",47
2014,BC,Black,Female,In Custody,0,0
2014,AB,Black,Female,In Custody,730,1
2014,SK,Black,Female,In Custody,0,0
2014,MB,Black,Female,In Custody,0,0
2014,ON,Black,Female,In Custody,"1,910",38
2014,QC,Black,Female,In Custody,"1,217",4
2014,NB,Black,Female,In Custody,0,0
2014,NL,Black,Female,In Custody,0,0
2014,PE,Black,Female,In Custody,0,0
2014,NS,Black,Female,In Custody,"1,294",4
2014,NW,Black,Female,In Custody,0,0
2014,YU,Black,Female,In Custody,0,0
2014,NU,Black,Female,In Custody,0,0
2014,National,White,Female,In Custody,"1,077",308
2014,BC,White,Female,In Custody,"1,062",40
2014,AB,White,Female,In Custody,"1,203",41
2014,SK,White,Female,In Custody,"1,114",17
2014,MB,White,Female,In Custody,0,1
2014,ON,White,Female,In Custody,"1,201",84
2014,QC,White,Female,In Custody,"1,018",66
2014,NB,White,Female,In Custody,0,0
2014,NL,White,Female,In Custody,0,0
2014,PE,White,Female,In Custody,0,0
2014,NS,White,Female,In Custody,895,59
2014,NW,White,Female,In Custody,0,0
2014,YU,White,Female,In Custody,0,0
2014,NU,White,Female,In Custody,0,0
2014,National,Aboriginal,Female,In Custody,"1,108",218
2014,BC,Aboriginal,Female,In Custody,"1,154",39
2014,AB,Aboriginal,Female,In Custody,"1,195",80
2014,SK,Aboriginal,Female,In Custody,"1,088",30
2014,MB,Aboriginal,Female,In Custody,"1,416",4
2014,ON,Aboriginal,Female,In Custody,713,36
2014,QC,Aboriginal,Female,In Custody,"1,026",15
2014,NB,Aboriginal,Female,In Custody,0,0
2014,NL,Aboriginal,Female,In Custody,0,0
2014,PE,Aboriginal,Female,In Custody,0,0
2014,NS,Aboriginal,Female,In Custody,"1,537",14
2014,NW,Aboriginal,Female,In Custody,0,0
2014,YU,Aboriginal,Female,In Custody,0,0
2014,NU,Aboriginal,Female,In Custody,0,0
2014,National,Other Minority,Female,In Custody,"1,439",58
2014,BC,Other Minority,Female,In Custody,"1,532",5
2014,AB,Other Minority,Female,In Custody,"1,457",11
2014,SK,Other Minority,Female,In Custody,913,6
2014,MB,Other Minority,Female,In Custody,0,0
2014,ON,Other Minority,Female,In Custody,"1,988",21
2014,QC,Other Minority,Female,In Custody,731,11
2014,NB,Other Minority,Female,In Custody,0,0
2014,NL,Other Minority,Female,In Custody,0,0
2014,PE,Other Minority,Female,In Custody,0,0
2014,NS,Other Minority,Female,In Custody,"1,121",4
2014,NW,Other Minority,Female,In Custody,0,0
2014,YU,Other Minority,Female,In Custody,0,0
2014,NU,Other Minority,Female,In Custody,0,0
2014,National,Black,Male,In Custody,"1,600","1,409"
2014,BC,Black,Male,In Custody,"1,451",100
2014,AB,Black,Male,In Custody,"1,611",95
2014,SK,Black,Male,In Custody,"1,061",19
2014,MB,Black,Male,In Custody,"2,001",17
2014,ON,Black,Male,In Custody,"1,592",786
2014,QC,Black,Male,In Custody,"1,688",230
2014,NB,Black,Male,In Custody,"1,528",99
2014,NL,Black,Male,In Custody,0,0
2014,PE,Black,Male,In Custody,0,0
2014,NS,Black,Male,In Custody,"1,763",63
2014,NW,Black,Male,In Custody,0,0
2014,YU,Black,Male,In Custody,0,0
2014,NU,Black,Male,In Custody,0,0
2014,National,White,Male,In Custody,"1,507","8,563"
2014,BC,White,Male,In Custody,"1,461","1,253"
2014,AB,White,Male,In Custody,"1,460","1,005"
2014,SK,White,Male,In Custody,"1,303",267
2014,MB,White,Male,In Custody,"1,468",211
2014,ON,White,Male,In Custody,"1,358","1,962"
2014,QC,White,Male,In Custody,"1,700","2,765"
2014,NB,White,Male,In Custody,"1,420",722
2014,NL,White,Male,In Custody,0,0
2014,PE,White,Male,In Custody,0,0
2014,NS,White,Male,In Custody,"1,476",378
2014,NW,White,Male,In Custody,0,0
2014,YU,White,Male,In Custody,0,0
2014,NU,White,Male,In Custody,0,0
2014,National,Aboriginal,Male,In Custody,"1,449","3,324"
2014,BC,Aboriginal,Male,In Custody,"1,272",601
2014,AB,Aboriginal,Male,In Custody,"1,591",683
2014,SK,Aboriginal,Male,In Custody,"1,528",524
2014,MB,Aboriginal,Male,In Custody,"1,474",474
2014,ON,Aboriginal,Male,In Custody,"1,380",440
2014,QC,Aboriginal,Male,In Custody,"1,460",420
2014,NB,Aboriginal,Male,In Custody,"1,395",131
2014,NL,Aboriginal,Male,In Custody,0,0
2014,PE,Aboriginal,Male,In Custody,0,0
2014,NS,Aboriginal,Male,In Custody,"1,282",50
2014,NW,Aboriginal,Male,In Custody,853,1
2014,YU,Aboriginal,Male,In Custody,0,0
2014,NU,Aboriginal,Male,In Custody,0,0
2014,National,Other Minority,Male,In Custody,"1,495","1,400"
2014,BC,Other Minority,Male,In Custody,"1,453",254
2014,AB,Other Minority,Male,In Custody,"1,409",169
2014,SK,Other Minority,Male,In Custody,"1,283",224
2014,MB,Other Minority,Male,In Custody,"1,715",54
2014,ON,Other Minority,Male,In Custody,"1,665",422
2014,QC,Other Minority,Male,In Custody,"1,465",214
2014,NB,Other Minority,Male,In Custody,"1,355",37
2014,NL,Other Minority,Male,In Custody,0,0
2014,PE,Other Minority,Male,In Custody,0,0
2014,NS,Other Minority,Male,In Custody,"1,511",26
2014,NW,Other Minority,Male,In Custody,0,0
2014,YU,Other Minority,Male,In Custody,0,0
2014,NU,Other Minority,Male,In Custody,0,0
2015,National,Black,Female,In Custody,"1,774",47
2015,BC,Black,Female,In Custody,0,0
2015,AB,Black,Female,In Custody,730,1
2015,SK,Black,Female,In Custody,0,0
2015,MB,Black,Female,In Custody,0,0
2015,ON,Black,Female,In Custody,"1,910",38
2015,QC,Black,Female,In Custody,"1,217",4
2015,NB,Black,Female,In Custody,0,0
2015,NL,Black,Female,In Custody,0,0
2015,PE,Black,Female,In Custody,0,0
2015,NS,Black,Female,In Custody,"1,294",4
2015,NW,Black,Female,In Custody,0,0
2015,YU,Black,Female,In Custody,0,0
2015,NU,Black,Female,In Custody,0,0
2015,National,White,Female,In Custody,"1,080",308
2015,BC,White,Female,In Custody,"1,062",40
2015,AB,White,Female,In Custody,"1,203",41
2015,SK,White,Female,In Custody,"1,114",17
2015,MB,White,Female,In Custody,0,0
2015,ON,White,Female,In Custody,"1,200",85
2015,QC,White,Female,In Custody,"1,018",66
2015,NB,White,Female,In Custody,0,0
2015,NL,White,Female,In Custody,0,0
2015,PE,White,Female,In Custody,0,0
2015,NS,White,Female,In Custody,895,59
2015,NW,White,Female,In Custody,0,0
2015,YU,White,Female,In Custody,0,0
2015,NU,White,Female,In Custody,0,0
2015,National,Aboriginal,Female,In Custody,"1,110",211
2015,BC,Aboriginal,Female,In Custody,"1,167",38
2015,AB,Aboriginal,Female,In Custody,"1,195",80
2015,SK,Aboriginal,Female,In Custody,"1,115",29
2015,MB,Aboriginal,Female,In Custody,0,0
2015,ON,Aboriginal,Female,In Custody,715,35
2015,QC,Aboriginal,Female,In Custody,"1,026",15
2015,NB,Aboriginal,Female,In Custody,0,0
2015,NL,Aboriginal,Female,In Custody,0,0
2015,PE,Aboriginal,Female,In Custody,0,0
2015,NS,Aboriginal,Female,In Custody,"1,537",14
2015,NW,Aboriginal,Female,In Custody,0,0
2015,YU,Aboriginal,Female,In Custody,0,0
2015,NU,Aboriginal,Female,In Custody,0,0
2015,National,Other Minority,Female,In Custody,"1,439",58
2015,BC,Other Minority,Female,In Custody,"1,532",5
2015,AB,Other Minority,Female,In Custody,"1,457",11
2015,SK,Other Minority,Female,In Custody,913,6
2015,MB,Other Minority,Female,In Custody,0,0
2015,ON,Other Minority,Female,In Custody,"1,988",21
2015,QC,Other Minority,Female,In Custody,731,11
2015,NB,Other Minority,Female,In Custody,0,0
2015,NL,Other Minority,Female,In Custody,0,0
2015,PE,Other Minority,Female,In Custody,0,0
2015,NS,Other Minority,Female,In Custody,"1,121",4
2015,NW,Other Minority,Female,In Custody,0,0
2015,YU,Other Minority,Female,In Custody,0,0
2015,NU,Other Minority,Female,In Custody,0,0
2015,National,Black,Male,In Custody,"1,602","1,409"
2015,BC,Black,Male,In Custody,"1,451",100
2015,AB,Black,Male,In Custody,"1,611",95
2015,SK,Black,Male,In Custody,"1,061",19
2015,MB,Black,Male,In Custody,"2,001",17
2015,ON,Black,Male,In Custody,"1,595",785
2015,QC,Black,Male,In Custody,"1,694",231
2015,NB,Black,Male,In Custody,"1,528",99
2015,NL,Black,Male,In Custody,0,0
2015,PE,Black,Male,In Custody,0,0
2015,NS,Black,Male,In Custody,"1,763",63
2015,NW,Black,Male,In Custody,0,0
2015,YU,Black,Male,In Custody,0,0
2015,NU,Black,Male,In Custody,0,0
2015,National,White,Male,In Custody,"1,511","8,559"
2015,BC,White,Male,In Custody,"1,464","1,253"
2015,AB,White,Male,In Custody,"1,465","1,004"
2015,SK,White,Male,In Custody,"1,303",267
2015,MB,White,Male,In Custody,"1,473",212
2015,ON,White,Male,In Custody,"1,363","1,953"
2015,QC,White,Male,In Custody,"1,703","2,772"
2015,NB,White,Male,In Custody,"1,421",721
2015,NL,White,Male,In Custody,0,0
2015,PE,White,Male,In Custody,0,0
2015,NS,White,Male,In Custody,"1,479",377
2015,NW,White,Male,In Custody,0,0
2015,YU,White,Male,In Custody,0,0
2015,NU,White,Male,In Custody,0,0
2015,National,Aboriginal,Male,In Custody,"1,451","3,324"
2015,BC,Aboriginal,Male,In Custody,"1,266",600
2015,AB,Aboriginal,Male,In Custody,"1,591",688
2015,SK,Aboriginal,Male,In Custody,"1,530",523
2015,MB,Aboriginal,Male,In Custody,"1,477",473
2015,ON,Aboriginal,Male,In Custody,"1,384",438
2015,QC,Aboriginal,Male,In Custody,"1,465",421
2015,NB,Aboriginal,Male,In Custody,"1,395",131
2015,NL,Aboriginal,Male,In Custody,0,0
2015,PE,Aboriginal,Male,In Custody,0,0
2015,NS,Aboriginal,Male,In Custody,"1,282",50
2015,NW,Aboriginal,Male,In Custody,0,0
2015,YU,Aboriginal,Male,In Custody,0,0
2015,NU,Aboriginal,Male,In Custody,0,0
2015,National,Other Minority,Male,In Custody,"1,502","1,397"
2015,BC,Other Minority,Male,In Custody,"1,459",253
2015,AB,Other Minority,Male,In Custody,"1,409",169
2015,SK,Other Minority,Male,In Custody,"1,307",220
2015,MB,Other Minority,Male,In Custody,"1,717",53
2015,ON,Other Minority,Male,In Custody,"1,665",422
2015,QC,Other Minority,Male,In Custody,"1,480",217
2015,NB,Other Minority,Male,In Custody,"1,355",37
2015,NL,Other Minority,Male,In Custody,0,0
2015,PE,Other Minority,Male,In Custody,0,0
2015,NS,Other Minority,Male,In Custody,"1,511",26
2015,NW,Other Minority,Male,In Custody,0,0
2015,YU,Other Minority,Male,In Custody,0,0
2015,NU,Other Minority,Male,In Custody,0,0
2016,National,Black,Female,In Custody,"1,697",36
2016,BC,Black,Female,In Custody,0,0
2016,AB,Black,Female,In Custody,"1,095",1
2016,SK,Black,Female,In Custody,731,1
2016,MB,Black,Female,In Custody,0,0
2016,ON,Black,Female,In Custody,"1,889",28
2016,QC,Black,Female,In Custody,"1,233",2
2016,NB,Black,Female,In Custody,0,0
2016,NL,Black,Female,In Custody,0,0
2016,PE,Black,Female,In Custody,0,0
2016,NS,Black,Female,In Custody,974,4
2016,NW,Black,Female,In Custody,0,0
2016,YU,Black,Female,In Custody,0,0
2016,NU,Black,Female,In Custody,0,0
2016,National,White,Female,In Custody,"1,076",348
2016,BC,White,Female,In Custody,668,37
2016,AB,White,Female,In Custody,"1,272",51
2016,SK,White,Female,In Custody,"1,116",13
2016,MB,White,Female,In Custody,0,0
2016,ON,White,Female,In Custody,"1,255",103
2016,QC,White,Female,In Custody,984,84
2016,NB,White,Female,In Custody,0,0
2016,NL,White,Female,In Custody,0,0
2016,PE,White,Female,In Custody,0,0
2016,NS,White,Female,In Custody,974,60
2016,NW,White,Female,In Custody,0,0
2016,YU,White,Female,In Custody,0,0
2016,NU,White,Female,In Custody,0,0
2016,National,Aboriginal,Female,In Custody,"1,113",240
2016,BC,Aboriginal,Female,In Custody,"1,128",37
2016,AB,Aboriginal,Female,In Custody,"1,272",99
2016,SK,Aboriginal,Female,In Custody,"1,084",40
2016,MB,Aboriginal,Female,In Custody,0,0
2016,ON,Aboriginal,Female,In Custody,844,34
2016,QC,Aboriginal,Female,In Custody,702,19
2016,NB,Aboriginal,Female,In Custody,0,0
2016,NL,Aboriginal,Female,In Custody,0,0
2016,PE,Aboriginal,Female,In Custody,0,0
2016,NS,Aboriginal,Female,In Custody,"1,279",11
2016,NW,Aboriginal,Female,In Custody,0,0
2016,YU,Aboriginal,Female,In Custody,0,0
2016,NU,Aboriginal,Female,In Custody,0,0
2016,National,Other Minority,Female,In Custody,"1,317",57
2016,BC,Other Minority,Female,In Custody,"1,756",5
2016,AB,Other Minority,Female,In Custody,"1,579",13
2016,SK,Other Minority,Female,In Custody,244,3
2016,MB,Other Minority,Female,In Custody,0,0
2016,ON,Other Minority,Female,In Custody,"1,233",25
2016,QC,Other Minority,Female,In Custody,"1,215",7
2016,NB,Other Minority,Female,In Custody,0,0
2016,NL,Other Minority,Female,In Custody,0,0
2016,PE,Other Minority,Female,In Custody,0,0
2016,NS,Other Minority,Female,In Custody,"1,424",4
2016,NW,Other Minority,Female,In Custody,0,0
2016,YU,Other Minority,Female,In Custody,0,0
2016,NU,Other Minority,Female,In Custody,0,0
2016,National,Black,Male,In Custody,"1,602","1,399"
2016,BC,Black,Male,In Custody,"1,501",99
2016,AB,Black,Male,In Custody,"1,617",99
2016,SK,Black,Male,In Custody,"1,535",19
2016,MB,Black,Male,In Custody,"1,848",30
2016,ON,Black,Male,In Custody,"1,596",751
2016,QC,Black,Male,In Custody,"1,622",262
2016,NB,Black,Male,In Custody,"1,488",91
2016,NL,Black,Male,In Custody,0,0
2016,PE,Black,Male,In Custody,0,0
2016,NS,Black,Male,In Custody,"1,852",48
2016,NW,Black,Male,In Custody,0,0
2016,YU,Black,Male,In Custody,0,0
2016,NU,Black,Male,In Custody,0,0
2016,National,White,Male,In Custody,"1,495","8,183"
2016,BC,White,Male,In Custody,"1,453","1,140"
2016,AB,White,Male,In Custody,"1,473","1,003"
2016,SK,White,Male,In Custody,"1,299",287
2016,MB,White,Male,In Custody,"1,592",237
2016,ON,White,Male,In Custody,"1,301","1,858"
2016,QC,White,Male,In Custody,"1,684","2,642"
2016,NB,White,Male,In Custody,"1,436",708
2016,NL,White,Male,In Custody,0,0
2016,PE,White,Male,In Custody,0,0
2016,NS,White,Male,In Custody,"1,531",308
2016,NW,White,Male,In Custody,0,0
2016,YU,White,Male,In Custody,0,0
2016,NU,White,Male,In Custody,0,0
2016,National,Aboriginal,Male,In Custody,"1,431","3,413"
2016,BC,Aboriginal,Male,In Custody,"1,299",602
2016,AB,Aboriginal,Male,In Custody,"1,522",662
2016,SK,Aboriginal,Male,In Custody,"1,427",648
2016,MB,Aboriginal,Male,In Custody,"1,542",446
2016,ON,Aboriginal,Male,In Custody,"1,361",440
2016,QC,Aboriginal,Male,In Custody,"1,472",441
2016,NB,Aboriginal,Male,In Custody,"1,372",129
2016,NL,Aboriginal,Male,In Custody,0,0
2016,PE,Aboriginal,Male,In Custody,0,0
2016,NS,Aboriginal,Male,In Custody,"1,246",45
2016,NW,Aboriginal,Male,In Custody,0,0
2016,YU,Aboriginal,Male,In Custody,0,0
2016,NU,Aboriginal,Male,In Custody,0,0
2016,National,Other Minority,Male,In Custody,"1,499","1,186"
2016,BC,Other Minority,Male,In Custody,"1,410",224
2016,AB,Other Minority,Male,In Custody,"1,481",151
2016,SK,Other Minority,Male,In Custody,"1,459",82
2016,MB,Other Minority,Male,In Custody,"1,605",45
2016,ON,Other Minority,Male,In Custody,"1,640",387
2016,QC,Other Minority,Male,In Custody,"1,438",228
2016,NB,Other Minority,Male,In Custody,"1,227",43
2016,NL,Other Minority,Male,In Custody,0,0
2016,PE,Other Minority,Male,In Custody,0,0
2016,NS,Other Minority,Male,In Custody,"1,190",26
2016,NW,Other Minority,Male,In Custody,0,0
2016,YU,Other Minority,Male,In Custody,0,0
2016,NU,Other Minority,Male,In Custody,0,0
2017,National,Black,Female,In Custody,"1,528",38
2017,BC,Black,Female,In Custody,0,0
2017,AB,Black,Female,In Custody,"2,184",2
2017,SK,Black,Female,In Custody,731,1
2017,MB,Black,Female,In Custody,0,0
2017,ON,Black,Female,In Custody,"1,566",30
2017,QC,Black,Female,In Custody,"1,375",2
2017,NB,Black,Female,In Custody,0,0
2017,NL,Black,Female,In Custody,0,0
2017,PE,Black,Female,In Custody,0,0
2017,NS,Black,Female,In Custody,"1,076",3
2017,NW,Black,Female,In Custody,0,0
2017,YU,Black,Female,In Custody,0,0
2017,NU,Black,Female,In Custody,0,0
2017,National,White,Female,In Custody,"1,038",345
2017,BC,White,Female,In Custody,754,39
2017,AB,White,Female,In Custody,969,57
2017,SK,White,Female,In Custody,"1,186",13
